ID,site_name,gen_codes,poc_codes,operator,lon,lat,capacity,n_turbines,diameter,height,height_source,turbine_model,first_generation,type,notes
tararua_1_2,Tararua I & II,twf_12,LTN0331;BPE0331,Mercury,175.780,-40.346,67980,103,47,40,verified,Vestas V47-660,1999-01,onshore,Stages I (1999) and II (2004) share Gen_Code twf_12 across two POCs; capacity is turbine math (103x660 kW); EMI register says 73 MW (unresolved discrepancy)
tararua_3,Tararua III,twf_3,TWC2201,Mercury,175.780,-40.346,93000,31,90,65,unverified-model-standard,Vestas V90-3.0,2007-01,onshore,Same ridge as I/II so coordinates coincide; hub height is the V90 standard option (not stated in sources)
te_apiti,Te Apiti,te_apiti,WDV1101,Meridian,175.808,-40.296,90750,55,72,70,verified,NEG Micon NM72C-1.65,2004-01,onshore,Earliest wind rows in Generation_MD (2005); Site_Code changed TAP->WDV over the years (key on Gen_Code)
white_hill,White Hill,white_hill,NMA0331,Meridian,168.272,-45.753,58000,29,80,68,verified,Vestas V80-2.0,2007-01,onshore,Generation_MD rows start 2009 despite 2007 commissioning
te_rere_hau,Te Rere Hau,te_rere_hau,TWC2201,NZ Windfarms (Meridian),175.724,-40.388,48500,97,33,30,verified,Windflow 500,2006-01,onshore,Four stages 2006-2011; DEGRADED late-window (5 turbines stopped 2 derated) so recent CF understates the resource - standing caveat; repowering JV ~2029
west_wind,West Wind (Makara),west_wind,WWD1102;WWD1103,Meridian,174.660,-41.276,142600,62,82.4,68,verified,Siemens SWT-2.3-82 VS,2009-01,onshore,Two feeder POCs summed under one Gen_Code; register nameplate (80+80) is connection capacity not turbine capacity - use 142.6 MW
te_uku,Te Uku,te_uku,TWH0331,Meridian + WEL Networks,174.963,-37.878,64400,28,101,80,verified,Siemens SWT-2.3-101,2011-01,onshore,Northernmost farm in the fleet
mill_creek,Mill Creek (Ohariu),mill_creek,WIL0331,Meridian,174.739,-41.212,59800,26,82.4,80,unverified-conflicting-sources,Siemens SWT-2.3-82 VS,2014-01,onshore,Hub height sources conflict (67-68 m same platform as West Wind vs 80 m per power-technology.com; 80 adopted); first sampled Generation_MD hit 2020 - verify early months when fetched
waipipi,Waipipi,waipipi,WVY1101,Mercury (Genesis offtaker),174.550,-39.783,133300,31,130,95,verified,Siemens Gamesa SWT-DD-130,2020-11,onshore,EMI register operator field says Genesis (market participant); asset owner Mercury
turitea,Turitea (North + South),turitea,LTN2201,Mercury,175.671,-40.441,221400,60,112,69,verified,Vestas V112-3.6/3.8,2021-03,onshore,North 33xV112-3.6 (stable ~Nov 2021) + South 27xV112-3.8 (through 2023); one Gen_Code for both; capacity history in nz_capacity_stages.csv
harapaki,Harapaki,harapaki,HRP2201,Meridian,176.693,-39.184,176300,41,120,85,verified,Siemens Gamesa SG 4.3-120 DD,2023-11,onshore,Gen_Code is capitalised (Harapaki) in EMI files - matching is case-normalised; full commissioning Jul 2024
kaiwera_downs_1,Kaiwera Downs 1,kaiweradowns,GOR0331,Mercury,169.056,-46.241,43000,10,136,77,verified,Vestas V136-4.2,2023-08,onshore,Gen_Code KaiweraDowns (no underscore) in EMI files
kaiwera_downs_2,Kaiwera Downs 2,kaiwera_downs_(stage_2),KIW2201,Mercury,169.056,-46.241,154800,36,136,97,unverified-consent-docs,Vestas V136-4.2,2026-03,onshore,First EMI rows Mar 2026; commissioning through 2026-27 (fully masked in current window); Fuel_Code WIN / Tech ONW (new coding style); adjacent to stage 1 so coordinates coincide
